"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","包月车辆：进主场-扫车牌包月车出场-免费","1","3","0","0","0"
"","","临停车辆：进主场-扫车牌临停出场-收费","4","0","0","0","0"
